Абсолютный путь,Относительный путь,Класс
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0000.jpg,data_new\dataset\tiger_0000.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0001.jpg,data_new\dataset\tiger_0001.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0002.jpg,data_new\dataset\tiger_0002.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0003.jpg,data_new\dataset\tiger_0003.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0004.jpg,data_new\dataset\tiger_0004.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0005.jpg,data_new\dataset\tiger_0005.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0006.jpg,data_new\dataset\tiger_0006.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0007.jpg,data_new\dataset\tiger_0007.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0008.jpg,data_new\dataset\tiger_0008.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0009.jpg,data_new\dataset\tiger_0009.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0010.jpg,data_new\dataset\tiger_0010.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0011.jpg,data_new\dataset\tiger_0011.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0012.jpg,data_new\dataset\tiger_0012.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0013.jpg,data_new\dataset\tiger_0013.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0014.jpg,data_new\dataset\tiger_0014.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0015.jpg,data_new\dataset\tiger_0015.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0016.jpg,data_new\dataset\tiger_0016.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0017.jpg,data_new\dataset\tiger_0017.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0018.jpg,data_new\dataset\tiger_0018.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0019.jpg,data_new\dataset\tiger_0019.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0020.jpg,data_new\dataset\tiger_0020.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0021.jpg,data_new\dataset\tiger_0021.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0022.jpg,data_new\dataset\tiger_0022.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0023.jpg,data_new\dataset\tiger_0023.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0024.jpg,data_new\dataset\tiger_0024.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0025.jpg,data_new\dataset\tiger_0025.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0026.jpg,data_new\dataset\tiger_0026.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0027.jpg,data_new\dataset\tiger_0027.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0028.jpg,data_new\dataset\tiger_0028.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0029.jpg,data_new\dataset\tiger_0029.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0030.jpg,data_new\dataset\tiger_0030.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0031.jpg,data_new\dataset\tiger_0031.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0032.jpg,data_new\dataset\tiger_0032.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0033.jpg,data_new\dataset\tiger_0033.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0034.jpg,data_new\dataset\tiger_0034.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new\dataset\tiger_0035.jpg,data_new\dataset\tiger_0035.jpg,tiger
